Molecule_ChEMBL_ID,Smiles,Standard_Value,Unit,Standardized_SMILES
CHEMBL85398,O=C1CSC(=O)N1,540.0,nM,O=c1[nH]c(O)cs1
CHEMBL4544064,O=C1NC(=O)/C(=C\c2ccc(-n3ncc4ccccc43)cc2)S1,550.0,nM,O=C1NC(=O)C(=Cc2ccc(-n3ncc4ccccc43)cc2)S1
CHEMBL4456879,O=C1NC(=O)/C(=C\c2ccc(-n3cc([N+](=O)[O-])cn3)cc2)S1,550.0,nM,O=C1NC(=O)C(=Cc2ccc(-n3cc([N+](=O)[O-])cn3)cc2)S1
CHEMBL4590014,O=C1NC(=O)/C(=C\c2ccc(-n3ccc4c(Br)ccnc43)cc2)S1,550.0,nM,O=C1NC(=O)C(=Cc2ccc(-n3ccc4c(Br)ccnc43)cc2)S1
CHEMBL4541639,O=C1NC(=O)/C(=C\c2ccc(-n3ccc4c(Nc5ccccc5OC(F)(F)F)ccnc43)cc2)S1,550.0,nM,O=C1NC(=O)C(=Cc2ccc(-n3ccc4c(Nc5ccccc5OC(F)(F)F)ccnc43)cc2)S1
CHEMBL4472969,O=C1NC(=O)/C(=C\c2ccc(-n3cnc4ccccc43)cc2)S1,550.0,nM,O=C1NC(=O)C(=Cc2ccc(-n3cnc4ccccc43)cc2)S1
CHEMBL4549286,O=C1NC(=O)/C(=C\c2ccc(-n3ccc4c(Nc5ccc(F)cc5)ccnc43)cc2)S1,550.0,nM,O=C1NC(=O)C(=Cc2ccc(-n3ccc4c(Nc5ccc(F)cc5)ccnc43)cc2)S1
CHEMBL4521001,O=C(O)CN1C(=O)S/C(=C/c2ccc(-n3ccc4c(Br)ccnc43)cc2)C1=O,550.0,nM,O=C(O)CN1C(=O)SC(=Cc2ccc(-n3ccc4c(Br)ccnc43)cc2)C1=O
CHEMBL4465310,Cc1nccn1-c1ccc(/C=C2/SC(=O)NC2=O)cc1,550.0,nM,Cc1nccn1-c1ccc(C=C2SC(=O)NC2=O)cc1
CHEMBL4449655,CCOC(=O)CN1C(=O)S/C(=C/c2ccc(-n3ccc4c(Br)ccnc43)cc2)C1=O,550.0,nM,CCOC(=O)CN1C(=O)SC(=Cc2ccc(-n3ccc4c(Br)ccnc43)cc2)C1=O
CHEMBL3349440,OCC(CO)N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,550.0,nM,OCC(CO)NC1CC(CO)C(O)C(O)C1O
CHEMBL4582990,O=C(NNC(=S)Nc1ccc(C(F)(F)F)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,600.0,nM,O=C(NNC(=S)Nc1ccc(C(F)(F)F)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1
CHEMBL3814911,CCCCCCCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],640.0,nM,CCCCCCCOC(CO)C(O)C[S+]1CC(O)C(O)C1CO
CHEMBL2051760,CO[C@H]1O[C@H](C)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,650.0,nM,COC1OC(C)C(NC2CC(O)(CO)C(O)C(O)C2O)C(O)C1O
